,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
Eye,0.045,0.131,0.967,0.784,0.988,0.225,0.401,0.227,0.303,0.289,0.033,0.473,0.62,0.526,0.811,0.82,0.049,0.95,0.788,0.264,0.917,0.926,0.639,0.943,0.244,0.467,0.455,0.207,0.256,0.01,0.956,0.956,0.607,0.012,0.844,0.873,0.466
Mouth,0.0,0.0,1.0,0.18,0.846,0.0,0.976,0.858,0.979,0.503,0.057,0.508,0.548,1.0,0.986,0.689,0.708,0.978,0.96,0.952,0.681,0.839,0.654,0.411,0.044,0.252,0.222,0.037,0.085,0.103,0.355,0.01,0.153,0.055,0.67,0.487,0.122
Hand & Upper,0.163,0.001,0.961,0.174,0.786,0.001,0.978,0.976,1.0,0.92,0.375,0.976,0.109,1.0,0.997,0.823,0.996,0.982,0.999,1.0,0.745,0.109,0.359,0.918,0.958,1.0,0.796,0.087,0.054,0.023,0.825,0.431,0.245,0.616,0.996,0.996,0.833
Foot & Lower,0.947,0.925,0.981,0.686,0.518,0.871,0.283,1.0,0.989,0.802,0.637,0.72,0.046,1.0,0.746,0.934,0.956,0.799,0.983,0.997,0.388,0.958,0.614,0.33,0.375,0.445,0.62,0.548,0.169,0.932,0.518,0.773,0.701,0.936,0.745,0.909,0.853
Spatial simulation,0.535,0.134,0.801,0.756,0.0,0.05,0.587,0.877,0.915,0.89,0.898,0.836,0.957,0.998,0.997,0.877,1.0,0.377,0.986,1.0,0.361,1.0,0.166,0.656,0.998,0.963,0.843,0.052,0.456,0.243,0.143,0.198,0.713,0.197,0.43,0.852,0.233
Action observation,0.912,0.244,0.975,0.058,0.062,0.155,0.095,0.841,0.915,0.08,0.168,0.126,0.613,1.0,1.0,0.558,0.997,0.936,0.587,0.961,0.856,0.755,1.0,0.418,0.696,0.748,0.977,0.294,0.059,0.693,0.398,0.602,0.705,0.923,0.073,0.375,0.804
Motor imagery,0.218,0.312,0.99,0.192,0.103,0.24,0.235,0.994,0.997,0.987,0.929,0.982,0.534,0.995,0.962,0.198,0.997,0.998,0.956,1.0,0.994,1.0,0.992,0.862,0.77,0.746,0.962,0.797,0.317,0.5,0.544,0.769,0.95,0.944,0.884,0.991,0.944
Spatial WM,0.053,0.69,0.198,0.545,0.675,0.84,0.263,0.0,0.008,0.029,0.005,0.006,0.977,0.002,0.029,0.002,0.0,0.705,0.457,0.001,0.687,0.805,0.303,0.425,0.816,0.42,0.398,0.808,0.68,0.028,0.252,0.546,0.071,0.013,0.328,0.315,0.344
Retrieval,0.956,0.964,0.0,0.414,0.01,0.87,0.335,0.322,0.59,0.992,0.95,0.931,0.992,0.012,0.046,0.029,0.73,0.988,0.435,0.199,0.85,0.929,0.966,0.873,0.869,0.673,0.869,0.999,0.93,0.78,0.155,0.388,0.543,0.966,0.841,0.811,0.674
Verbal WM,0.248,0.355,0.631,0.016,0.036,0.279,0.051,0.124,0.437,0.815,0.586,0.415,0.587,0.048,0.084,0.003,0.977,0.996,0.132,0.586,0.008,0.002,0.007,0.0,0.998,0.889,0.625,0.27,0.53,0.167,0.042,0.083,0.052,0.321,0.004,0.0,0.0
Spatial/ N-back,0.792,0.993,0.033,0.061,0.073,0.971,0.0,0.019,0.221,0.969,0.385,0.355,0.874,0.009,0.102,0.033,0.08,0.885,0.043,0.025,0.644,0.25,0.922,0.025,0.342,0.172,0.72,0.95,0.963,0.638,0.017,0.085,0.021,0.417,0.259,0.126,0.198
Linguistic,0.383,0.92,0.705,0.629,0.711,0.961,0.874,0.076,0.001,0.002,0.182,0.006,0.349,0.911,0.985,0.612,0.028,0.01,0.87,0.183,0.275,0.887,0.021,0.992,0.112,0.359,0.01,0.021,0.09,0.964,0.519,0.587,0.417,0.8,0.705,0.925,0.668
Social,1.0,1.0,0.036,0.969,0.988,1.0,0.725,0.545,0.059,0.051,0.912,0.319,0.167,0.12,0.077,0.928,0.046,0.0,0.001,0.125,0.36,0.37,0.932,0.685,0.031,0.036,0.174,0.912,0.976,0.945,0.807,0.912,0.809,0.82,0.038,0.792,0.928
Rest,0.949,0.976,0.882,0.999,0.825,0.983,0.788,0.998,0.425,0.145,0.858,0.401,0.49,0.883,0.869,0.734,0.174,0.001,0.481,0.287,0.609,0.676,0.993,0.662,0.17,0.164,0.348,0.88,0.57,0.834,0.758,0.814,1.0,0.54,0.303,0.97,0.993
Self-projection,1.0,1.0,0.171,0.865,0.92,1.0,0.096,0.794,0.704,0.985,0.953,0.912,0.335,0.107,0.014,0.99,0.829,0.989,0.031,0.901,0.491,0.068,0.903,0.642,0.221,0.236,0.753,0.993,1.0,0.988,0.817,0.739,0.82,0.974,0.897,0.345,0.474
Scene construction,0.929,0.918,0.324,0.153,0.067,0.808,0.039,0.903,0.966,0.385,0.44,0.882,0.0,0.787,0.115,1.0,0.66,1.0,0.829,0.751,0.98,1.0,0.812,0.526,0.07,0.144,0.236,0.935,0.531,0.997,0.287,0.514,0.736,0.775,0.87,0.809,0.927
